Headline,Link
News,https://www.bbc.com/news
Israel-Gaza War,https://www.bbc.com/news/topics/c2vdnvdg6xxt
War in Ukraine,https://www.bbc.com/news/war-in-ukraine
US & Canada,https://www.bbc.com/news/us-canada
UK,https://www.bbc.com/news/uk
Africa,https://www.bbc.com/news/world/africa
Asia,https://www.bbc.com/news/world/asia
Australia,https://www.bbc.com/news/world/australia
Europe,https://www.bbc.com/news/world/europe
Latin America,https://www.bbc.com/news/world/latin_america
Middle East,https://www.bbc.com/news/world/middle_east
In Pictures,https://www.bbc.com/news/in_pictures
BBC InDepth,https://www.bbc.com/news/bbcindepth
BBC Verify,https://www.bbc.com/news/bbcverify
News,https://www.bbc.com/news
Israel-Gaza War,https://www.bbc.com/news/topics/c2vdnvdg6xxt
War in Ukraine,https://www.bbc.com/news/war-in-ukraine
US & Canada,https://www.bbc.com/news/us-canada
UK,https://www.bbc.com/news/uk
UK Politics,https://www.bbc.com/news/politics
England,https://www.bbc.com/news/england
N. Ireland,https://www.bbc.com/news/northern_ireland
N. Ireland Politics,https://www.bbc.com/news/northern_ireland/northern_ireland_politics
Scotland,https://www.bbc.com/news/scotland
Scotland Politics,https://www.bbc.com/news/scotland/scotland_politics
Wales,https://www.bbc.com/news/wales
Wales Politics,https://www.bbc.com/news/wales/wales_politics
Africa,https://www.bbc.com/news/world/africa
Asia,https://www.bbc.com/news/world/asia
China,https://www.bbc.com/news/world/asia/china
India,https://www.bbc.com/news/world/asia/india
Australia,https://www.bbc.com/news/world/australia
Europe,https://www.bbc.com/news/world/europe
Latin America,https://www.bbc.com/news/world/latin_america
Middle East,https://www.bbc.com/news/world/middle_east
In Pictures,https://www.bbc.com/news/in_pictures
BBC InDepth,https://www.bbc.com/news/bbcindepth
BBC Verify,https://www.bbc.com/news/bbcverify
Live News,https://www.bbc.com/live/news
Newsletters,https://www.bbc.com/newsletters
"LIVENetanyahu visits site of deadly Jerusalem shooting attack that kills fiveAt least five people have been killed and seven seriously wounded in a shooting attack in Jerusalem, paramedics and police say.",https://www.bbc.com/news/live/c4ge24r66r7t
New Zealand dad shot dead by police after years on the run with childrenTom Phillips disappeared with his three children in 2021 after losing a custody battle.14 mins agoAsia,https://www.bbc.com/news/articles/c75qlerp2e5o
"Duped of millions in 'digital arrest', Indian woman seeks answers from banksAnjali asks why such huge sums leaving her account didn’t trigger red flags and automatic alerts.  
9 hrs agoAsia",https://www.bbc.com/news/articles/clydllln9lgo
South Korean officials will travel to US to secure return of detained workersThe exact details of how and when the hundreds of workers will be returned still need to be finalised.3 hrs agoWorld,https://www.bbc.com/news/articles/cx2plmxm4r3o
"'I don't dare go back': BBC visits Cambodian villages caught in Thai border conflict Tension along disputed parts of the border with Thailand erupted into conflict in July, leaving dozens dead.12 hrs agoAsia",https://www.bbc.com/news/articles/c059j8759rlo
New Zealand dad shot dead by police after years on the run with childrenTom Phillips disappeared with his three children in 2021 after losing a custody battle.14 mins agoAsia,https://www.bbc.com/news/articles/c75qlerp2e5o
"A survivor's plea for kindness: How Australia's mushroom murder case endedAs Erin Patterson was sentenced, her sole surviving victim Ian Wilkinson called for privacy and kindness.57 mins agoAustralia",https://www.bbc.com/news/articles/cly1v06xz7qo
What it was like inside court as mushroom murderer was jailed for lifeThe BBC's Katy Watson was in the courtroom as Erin Patterson was sentenced to life.6 hrs agoAustralia,https://www.bbc.com/news/videos/c15k4y5nwz7o
